1girl,1个女孩
height difference,身高差
rumia,鲁米亚
mirror,镜子
belt buckle,皮带扣
pink lips,粉色嘴唇
sports bra,运动胸罩
valentine,情人节
colored eyelashes,彩色睫毛
bouquet,花束
full-face blush,全脸腮红
miki sayaka,早矢香美树
wooden floor,木地板
white hairband,白色发带
stairs,楼梯
mug,马克杯
snowing,下雪
paper,纸
kazami yuuka,风见幽香
blood on face,脸上有血
black bowtie,黑色领结
mountain,山
tentacle hair,触手头毛
blue necktie,蓝色领带
sportswear,运动服
shoulder bag,单肩包
white kimono,白色和服
covering breasts,遮住乳房
underwater,水下
wedding dress,婚纱
miko,巫女
star hair ornament,明星发饰
holding umbrella,撑伞
mature male,成熟的男性
city,城市
shimakaze (kancolle),岛风（kancolle）
snake,蛇
animated gif,动画 gif
meme attire,着装模因
the legend of zelda,塞尔达传说
vibrator,振动器
kaenbyou rin,火焰猫燐
reiuji utsuho,余穗玲二
glint,闪烁
doll,玩具娃娃
bloomers,灯笼裤
adjusting clothes,调整衣服
cropped torso,只有躯干
animal hood,动物头巾
saber,军刀
enmaided,自制
green jacket,绿色夹克
fighting stance,战斗姿态
hibiki (kancolle),响（kancolle）
hair bell,发铃
sign,符号
panties aside,内裤放在一边
pout,噘
chen,橙
cum on hair,精液（射）在头发上
waving,挥手
backless outfit,露背服装
aircraft,飞机
ice cream,冰淇淋
skirt hold,裙撑
realistic,实际的
borrowed character,借来的角色
strawberry,草莓
forehead mark,额头印记
motion blur,运动模糊
multicolored eyes,多彩多姿的眼睛
bandaged arm,绷带的手臂
video,视频
mouse ears,老鼠耳朵
text focus,文本焦点
love live! sunshine!!,爱生活！阳光！！
headpiece,头巾
nose,鼻子
open book,打开书
partially translated,部分翻译
spoon,勺子
orange bow,橙色蝴蝶结
panties around one leg,一条腿的内裤
pink bra,粉色胸罩
round teeth,圆齿
card,卡片
remodel (kantai collection),改造 (kantai 系列)
fate/zero,命运/零
kamishirasawa keine,神白泽线
mature female,成熟的女性
brother and sister,兄弟姐妹
white one-piece swimsuit,白色连体泳衣
raised eyebrows,扬起眉毛
!?,！？
one eye covered,一只眼睛被遮住
turtleneck sweater,高领毛衣
crossed bangs,交叉刘海
front-tie bikini top,前系带比基尼上衣
hands in pockets,双手插兜
colored inner hair,有颜色的内发
strike witches,罢工女巫
fire emblem heroes,火焰纹章英雄
touken ranbu,刀剑乱舞
nurse cap,护士帽
eighth note,八分音符
center opening,深V服装
visor cap,遮阳帽
clitoris,阴蒂
fence,栅栏
bandana,头巾
hair tie,发带
mustache,胡子
card (medium),卡（中）
tatara kogasa,多多拉小笠
anklet,脚链
geta,得到
palm tree,棕榈树
leash,皮带
dragon,龙
hime cut,姬切
kawashiro nitori,河城饭鸟
sailor hat,水手帽
white pants,白色裤子
sand,沙
short eyebrows,短眉毛
anchor symbol,锚符号
fire emblem: three houses,火徽：三间屋
grey jacket,灰色夹克
pokemon sm,宠物小精灵
stubble,胡茬
holding staff,拿着法杖
covering mouth,捂嘴
arrow (projectile),箭（弹丸）
idolmaster million live!,偶像大师百万现场！
mash kyrielight,麦芽浆
drink,喝
green headwear,绿色头饰
antennae,触角
blue skin,蓝色皮肤
yellow flower,黄色的花
top-down bottom-up,自上而下 自下而上
dildo,假阳具
hip focus,臀部焦点
can,能够
sitting on person,坐在人身上
door,门
hinanawi tenshi,比那名居天子
white leotard,白色紧身衣
fork,叉子
green shirt,绿色衬衫
scar across eye,眼睛上的疤痕
frog hair ornament,青蛙发饰
on floor,在地上
overflow,溢出
alternate color,修改颜色
spread arms,张开双臂
blindfold,眼罩
orange background,橙色背景
adjusting hair,调整头发
dragon tail,龙尾
mario (series),马里奥（系列）
camera,相机
asymmetrical bangs,不对称刘海
tall image,高大的形象
sakura kyouko,樱花杏子
arrow (symbol),箭头（符号）
round eyewear,圆形眼镜
zoom layer,缩放图层
tomoe mami,友麻美
furrowed brow,眉头紧锁
mouth mask,口罩
xenoblade chronicles (series),异度之刃（系列）
licking lips,舔嘴唇
arched back,弓背
wand,棍棒
yu-gi-oh!,游戏王！
purple flower,紫色的花
emblem,徽
straw hat,草帽
folding fan,折扇
honkai (series),崩坏（系列）
fantasy,幻想
music,音乐
apple,苹果
double v,双V
sword art online,刀剑神域
lowleg,低腿
anime screencap,动漫截图
arms at sides,两侧的手臂
green ribbon,绿色丝带
sharp fingernails,锋利的指甲
overwatch,守望先锋
sun,太阳
off-shoulder dress,露肩连衣裙
jacket on shoulders,肩上的夹克
interracial,异族
sunflower,向日葵
head out of frame,头超出边界
hanging breasts,悬垂的乳房
blanket,毯子
arm warmers,手臂保暖器
cannon,大炮
indie virtual youtuber,独立虚拟 youtuber
long dress,长裙
groping,摸索
fake tail,假尾巴
labcoat,实验工作服
shigure (kancolle),时雨 (kancolle)
gag,插科打诨
paid reward,有偿报酬
yokozuwari,侧着身子坐
overwatch 1,守望先锋 1
wince,畏缩
gothic lolita,哥特式洛丽塔
railing,栏杆
bandeau,头巾
final fantasy xiv,最终幻想十四
mixed-language commentary,混合语言评论
houraisan kaguya,法来山辉夜
alternate hair length,修改头发长度
rabbit girl,兔女郎
horizon,地平线
dragon ball,七龙珠
pink footwear,粉色鞋类
heart hair ornament,心形发饰
honkai impact 3rd,崩坏3
white wings,白色翅膀
name tag,名称标签
bun cover,包子盖
purple ribbon,紫色丝带
veiny penis,阴茎静脉
unbuttoned,解开的
leg lift,抬腿
brown headwear,棕色头饰
pink bikini,粉色比基尼
goatee,山羊胡
black bodysuit,黑色紧身连衣裤
highleg panties,高腿内裤
holding clothes,拿着衣服
re:zero kara hajimeru isekai seikatsu,re:zero kara hajimeru isekai seikatsu
floral background,花卉背景
angel,天使
final fantasy vii,最终幻想七
chinese text,中文文本
imageboard desourced,图像板外包
koakuma,小熊
muscular female,肌肉女
clock,钟
branch,枝干
hand on own cheek,手放在自己的脸颊上
hitodama,希托马
shota,翔太
brown legwear,棕色裤袜
pasties,馅饼
blue kimono,蓝色和服
beanie,豆豆
black sclera,黑色巩膜
partially visible vulva,部分可见的外阴
android,机器人
swimsuit under clothes,衣服下的泳装
dog girl,狗女孩
kill la kill,杀拉杀
hand on headwear,手戴头饰
smoking,在抽烟
lactation,哺乳期
red hairband,红色发带
untied,解开
eyeball,眼球
petticoat,衬裙
back-to-back,背靠背
tales of (series),（系列）的故事
paid reward available,可获得有偿奖励
off-shoulder shirt,露肩衬衫
furry female,毛茸茸的女性
tabi,袜套
hat flower,帽子花
microskirt,超短裙
protected link,受保护的链接
red cape,红色斗篷
underbust,下胸围
nipple slip,乳头滑落
food on face,食物在脸上
kongou (kancolle),金刚（kancolle）
gakuran,学兰
ahegao,阿嘿颜
bookshelf,书架
basket,篮子
armored dress,装甲连衣裙
logo,标识
vambraces,臂腕
pointless censoring,毫无意义的审查
jack-o'-lantern,南瓜灯
argyle,阿盖尔
lace-up boots,系带靴
character doll,人物娃娃
criss-cross halter,交叉吊带衫
purple shirt,紫色衬衫
dot nose,点鼻
cabbie hat,出租车司机帽
drawstring,拉绳
ass focus,聚焦屁股
fairy wings,仙女之翼
pocky,百奇
suspender skirt,吊带裙
unzipped,解压
tail ornament,尾饰
grabbing from behind,从后面抓
saliva trail,唾液小径
silhouette,轮廓
pokemon (anime),口袋妖怪（动漫）
black sleeves,黑色袖子
large areolae,大乳晕
collared dress,有领连衣裙
monogatari (series),物语（系列）
mystia lorelei,米斯蒂娅萝蕾拉
splatoon (series),喷溅（系列）
kneepits,膝坑
hand on another's shoulder,手搭在别人的肩膀上
crotch seam,裆缝
silent comic,无声漫画
size difference,尺寸差异
painttool sai (medium),油漆工具 sai（中）
gift box,礼物盒
purple nails,紫色指甲
wolf girl,狼女
bandaid on face,创口贴在脸上
taut clothes,紧绷的衣服
gohei,五平
white scarf,白色围巾
large penis,大阴茎
headdress,头饰
onsen,温泉
covered mouth,捂着嘴
anchor,锚
gangbang,钢棒
blue pants,蓝色裤子
inazuma (kancolle),闪电（kancolle）
gochuumon wa usagi desu ka?,gochuumon wa usagi desu ka?
butterfly hair ornament,蝴蝶发饰
white coat,白色大衣
ibuki suika,吹吹
inaba tewi,稻叶特威
everyone,每个人
red vest,红色背心
drinking,正在喝喝
yellow ascot,黄色阿斯科特
blue gloves,蓝色手套
military vehicle,军车
retro artstyle,复古艺术风格
leaning back,向后靠
cow print,牛印
naval uniform,海军制服
cow ears,牛耳朵
winter clothes,冬天的衣服
naruto (series),火影忍者（系列）
on head,在头上
sundress,吊带裙
guitar,吉他
bridal garter,新娘吊袜带
highleg swimsuit,高腿泳衣
no nose,没鼻子
wind lift,风升力
holding flower,拿着花
shrug (clothing),耸肩（衣服）
pen,笔
pool,泳池
hijiri byakuren,圣白莲
akagi (kancolle),赤城 (kancolle)
center frills,中心装饰
arm grab,抓臂
bishoujo senshi sailor moon,美少女战士水手月亮
frog,青蛙
souryuu asuka langley,souryuu 明日香 兰利
photo (medium),照片（中）
2koma,2科马
blue bowtie,蓝色领结
guilty gear,罪恶装备
electricity,电
heart censor,心形打码
glass,玻璃
checkered clothes,格子服装
tiles,瓷砖
spaghetti strap,意大利面条表带
witch,巫婆
adjusting eyewear,调整眼镜
mittens,连指手套
flag,旗帜
muneate,默念
toenail polish,脚趾甲油
red lips,红唇
code geass,代码geass
headpat,拍头
salute,礼炮
wedding band,婚戒
brown thighhighs,棕色长筒袜
reading,阅读
black cape,黑色斗篷
bound wrists,绑定手腕
chestnut mouth,栗子嘴
ganyu (genshin impact),ganyu（原神影响）
ankle boots,踝靴
bangle,手镯
waitress,女服务员
scythe,镰
nazrin,纳兹林
selfie,自拍
purple bikini,紫色比基尼
korean text,韩语文字
double-breasted,双排扣
flipped hair,翻转的头发
hair stick,发棒
classroom,课堂
strap gap,皮带间隙
facing away,背对着
airplane,飞机
poke ball (basic),戳球（基本）
uneven legwear,不均匀的裤腿
absurdly long hair,长得离谱的头发
talking,说
blue thighhighs,蓝色长筒袜
chromatic aberration,色差
xenoblade chronicles 2,异度神剑2
mahou shoujo lyrical nanoha,mahou shoujo 抒情的 nanoha
toaru kagaku no railgun,toaru kagaku no railgun
beachball,沙滩球
lucky star,幸运星
car,车
flat cap,平盖
food-themed hair ornament,以食物为主题的发饰
female child,女孩子
kita high school uniform,北高中校服
wristwatch,手表
smug,踌躇满志
earmuffs,耳套
magic,魔法
fur-trimmed jacket,皮草边饰夹克
inverted nipples,乳头内陷
kagamine len,镜音连
pinafore dress,围裙
pulled by self,自己拉（衣服）
vision (genshin impact),视觉（原神影响）
ugoira,乌戈伊拉
houjuu nue,封兽鵺
one piece,一块
gagged,堵嘴
hand to own mouth,手放在自己的嘴上
tenryuu (kancolle),天龙（kancolle）
rigging,索具
nun,尼姑
bikini under clothes,衣服下的比基尼
bukkake,颜射
horn ornament,喇叭饰品
light,光
bucket,桶
battle,战斗
hands on own chest,双手放在自己的胸前
notice lines,注意线
nurse,护士
potted plant,盆栽
road,路
bare back,裸露背部
cheerleader,啦啦队长
armored boots,装甲靴
shirt tucked in,衬衫扎进（裤子/裙子）
nipple tweak,乳头调整
spoken question mark,口语问号
tatami,榻榻米
mecha musume,机甲娘
triangular headpiece,三角头饰
stud earrings,耳钉
tamamo (fate),玉藻（命运）
cleft of venus,阴裂
hakama short skirt,袴短裙
neptune (series),海王星（系列）
sexually suggestive,性暗示
eyeliner,眼线笔
danganronpa 2: goodbye despair,弹丸论破2：再见绝望学园
style parody,风格模仿
cow horns,牛角
snake hair ornament,蛇发饰
pom pom (cheerleading),pom pom（啦啦队）
animal costume,动物服装
blazblue,亮蓝色
holding poke ball,拿着戳球
fire emblem fates,火徽命运
yasaka kanako,八坂加奈子
assault rifle,突击步枪
mahou shoujo lyrical nanoha strikers,魔法少女抒情纳叶前锋
>:),>:)
femdom,调教
kono subarashii sekai ni shukufuku wo!,kono subarashii sekai ni shukufuku wo！
yagokoro eirin,八所永麟
foot focus,重点在脚上面
yuudachi (kancolle),yuudachi (kancolle)
lamp,灯
bench,长椅
sideways glance,斜视
:>,:>
ninja,忍者
bow bra,蝴蝶结胸罩
light blue hair,淡蓝色头发
naked shirt,裸衬衫
bush,衬套
controller,控制器
happy sex,快乐的性爱
scales,秤
the king of fighters,战士之王
megurine luka,巡音卢卡
candle,蜡烛
hair over eyes,头发遮住双眼
riding,骑术
dragon quest,勇者斗恶龙
cityscape,城市景观
overalls,工作服
tube top,管顶
mask on head,头上的面具
biting,咬人
bags under eyes,眼袋
back bow,后蝴蝶结
bridal veil,婚礼面纱
pokemon bw,宠物小精灵 bw
ikazuchi (kancolle),ikazuchi (kancolle)
bad anatomy,解剖学不好
open fly,开飞
ragnarok online,仙境传说在线
crown braid,皇冠辫
stuffed bunny,毛绒兔子
mini crown,迷你皇冠
sarong,纱笼
white sweater,白色毛衣
brown dress,棕色连衣裙
joints,关节
fairy,仙女
covering crotch,覆盖胯部
shade,阴凉处
pink headwear,粉色头饰
ice wings,冰翼
japanese armor,日本盔甲
#ERROR!,#ERROR!
source smaller,源更小
purple panties,紫色内裤
brown belt,棕色带子
sailor shirt,水手衬衫
triangle mouth,三角口
orgasm,高潮
peach,桃
inazuma eleven (series),闪电十一人（系列）
jeanne d'arc alter (fate),jeanne d'arc alter (命运)
dark,黑暗的
wet shirt,湿衬衫
toeless legwear,露趾裤
key,钥匙
pov hands,pov 手
red kimono,红色和服
doujinshi,同人志
hair behind ear,耳朵后面的头发
mizuhashi parsee,水桥帕西
cable,电缆
hugging own legs,拥抱自己的腿
red hakama,红袴
creature,生物
air bubble,气泡
randoseru,兰多塞鲁
reaching out,伸出援手
space,太空
fate/extra ccc,命运/额外的ccc
persona 4,角色 4
lolita hairband,洛丽塔发带
bird wings,鸟翅膀
5boys,5个男孩
pleated dress,百褶连衣裙
oil-paper umbrella,油纸伞
bathing,洗澡
print legwear,印花裤
pilot suit,飞行员套装
holster,皮套
food in mouth,食物在嘴里
heart of string,弦之心
blue leotard,蓝色紧身衣
indian style,印度风格
fishnet pantyhose,渔网连裤袜
painting (medium),绘画（中）
